Id,country_id,Human Development Index HDI-2014,Gini coefficient 2005-2013,Adolescent birth rate 15-19 per 100k 20102015,Carbon dioxide emissionsAverage annual growth,Carbon dioxide emissions per capita 2011 Tones,Change forest percentable 1900 to 2012,Consumer price index 2013,Domestic food price level 2009 2014 index,Domestic food price level 2009-2014 volitility index,Electrification rate or population,Foreign direct investment net inflows percentage GDP 2013,Fossil fuels percentage of total 2012,Gender Inequality Index 2014,General government final consumption expenditure - Perce of GDP 2005-2013,Gross domestic product GDP 2013,Gross domestic product GDP percapta,Gross national income GNI per capita - 2011  Dollars,Homicide rate per 100k people 2008-2012,Infant Mortality 2013 per thousands,International inbound tourists thausands 2013,Internet users percentage of population 2014,Intimate or nonintimate partner violence ever experienced 2001-2011,Life expectancy at birth- years,Maternal mortality ratio deaths per 100 live births 2013,Mean years of schooling - Years,Net migration rate per 1k people 2010-2015,Physicians per 10k people,Population living on degraded land Percentage 2010,Primary school dropout rate 2008-2014,Prison population per 100k people,Public expenditure on education Percentange GDP,Public health expenditure percentage of GDP 2013,Pupil-teacher ratio primary school pupils per teacher 2008-2014,Renewable sources percentage of total 2012,Research and development expenditure  2005-2012,Share of seats in parliament percentage held by womand 2014,Taxes on income profit and capital gain 205 2013,Total tax revenue of GDP 2005-2013,Under-five Mortality 2013 thousands
Saudi Arabia,39,0.837273977,29.00333333,10.221,2.86598702,18.74082287,0,112.6951565,2.89,3.8,97.7,1.24226,99.99760143,0.284272279,22.13920617,1501.060624,52067.96605,52821.35798,0.8,13.4,13400,63.7,39.46666667,74.3,16,8.695222916,2.1,7.67,4.298975873,1.31228,162,5.13781023,3.164587,10.39186,0.002398032,0.07338,19.8675497,18.65662073,9.946080305,15.5
Argentina,40,0.835572018,43.57,54.354,0.978276676,4.665868631,-16.87868248,110.4485581,3.266666667,6.333333333,99.8,1.867905,89.66696697,0.375609704,15.50611267,192.6363302,22982.08336,22049.59416,5.5,11.9,5571,64.7,31.33333333,76.3,69,9.834001245,-0.5,31.55,1.681961183,2.90276,147,5.137589931,7.254919,16.33135,9.295287965,0.64696,36.7781155,8.895292956,14.48336098,13.3
United Arab Emirates,41,0.83546904,29.00333333,27.625,-3.771636299,19.99797997,30.37551018,102.6644428,1.58,6.3,97.7,2.606738,48.29271242,0.232171713,6.84261035,525.1324733,57044.57765,60868.33005,0.7,7,7126,90.4,39.46666667,77,8,9.4916875,11.4,19.3,1.875463572,8.04099,238,6.00911665,3.200764,16.06864,0.083458492,0.48911,17.5,21.41171644,0.355057935,8.2
Chile,42,0.832178477,50.84,55.285,1.880778148,4.58786833,6.834829327,108.3544928,2.62,7.4,99.6,7.308171,75.64296907,0.337591369,12.38565479,382.5948954,21714.03155,21290.1504,3.1,7.1,3576,72.35,35.7,81.7,22,9.786924362,0.3,10.24,1.147735835,1.33246,266,4.553850174,7.730832,21.15991,24.1646402,0.41722,15.8227848,30.36063148,19.04565896,8.2
Portugal,43,0.830095297,30.66333333,12.573,3.230429058,4.709849624,4.003502487,106.8199896,2.47,9,100,3.467122,74.91724082,0.110965715,18.95179627,267.7253099,25595.62863,25756.82103,1.2,3.1,8097,64.59,38,80.9,8,8.245105743,1.9,34.23,2.32020344,2.332123333,136,5.272130013,9.709223,11.73422,21.98440977,1.49533,31.3043478,22.15593652,20.34140631,3.8
Hungary,44,0.828350453,28.94,12.127,-1.06227674,4.862989931,12.85250601,111.7853974,2.43,5.8,100,-3.224301,71.12797344,0.208865905,19.8947513,226.7846956,22913.91693,22915.76394,1.3,5.2,10700,76.13,30.46666667,75.2,14,11.63608,1.5,29.6,17.11581302,1.9277,186,4.712250233,8.047233,10.48051,25.95742962,1.29664,10.1010101,15.93927527,22.86834823,6.1
Bahrain,45,0.823921957,29.00333333,13.785,1.295431545,18.13127841,154.2105266,105.6452213,2.24,18.5,97.7,3.006465,99.89143591,0.264862603,14.41489118,56.54303686,42444.27844,38598.50765,0.5,5.2,9163,91,39.46666667,76.6,22,9.419,3.4,9.13,3.608516567,2.19257,275,2.679059982,4.874988,11.76839,0,2.115216667,15,0.669771525,1.103893772,6.1
Latvia,46,0.81876601,36.03,13.522,0.414732113,3.786801437,6.440058888,106.7099567,2.86,7.9,100,2.845265,63.68715109,0.166647312,15.49680565,43.94125801,21824.56808,22280.51382,4.7,7.4,1536,75.83,26.83333333,74.2,13,11.47896866,-1,28.78,1.827870384,9.71279,304,4.934820175,5.712866,11.01496,33.84129734,0.65851,18,8.70806381,13.82147966,8.4
Croatia,47,0.817539869,33.61,12.736,0.414732113,4.801530011,4.058292614,108.0833333,3.16,2.7,100,1.016744,81.59593959,0.148889743,20.03665167,85.32247465,20063.1304,19409.48589,1.2,3.8,1.10E+04,68.57,26.16666667,77.3,13,11.02670097,-0.9,28.42,17.51373102,0.56046,108,4.206639767,7.303316,13.67519,10.56037134,0.75164,25.8278146,7.94347244,19.57715941,4.5
Kuwait,48,0.816271768,29.00333333,14.475,-0.437188097,29.13222464,86.57142844,111.1876076,2.6,3.7,97.7,1.048379,100,0.387314383,16.69808634,267.7037781,82357.82418,83960.61817,0.4,8.1,300,78.7,39.46666667,74.4,14,7.206958294,18.3,17.93,0.571024514,5.92846,137,3.760010004,2.887513,8.60512,0,0.094939999,1.5384615,0.588661037,0.716319146,9.5
Montenegro,49,0.802201007,30.63,15.2,1.495079444,4.145547583,4.95E-09,109.1027397,5.58,9.1,100,10.11055,60.19394832,0.171092217,19.84297328,8.793527066,14151.5411,14558.13363,2.7,4.9,1324,61,37.93333333,76.2,7,11.15878201,-0.8,19.79,8.009565697,19.5014,208,5.420013348,6.48702,20.16643333,28.41315707,0.40864,17.2839506,38.56999344,29.91221769,5.3
Belarus,50,0.798366518,26.46,20.599,1.495079444,6.682510398,11.88426797,288.6468125,5.29,6,100,3.13222,90.3702399,0.150727081,14.17670122,161.4384492,17054.55833,16676.09012,5.1,3.7,137,59.02,27.43333333,71.3,1,11.97681,-0.2,37.56,4.707380287,1.33186,335,5.121059895,6.067956,15.36216,5.880189701,0.7006,30.1204819,3.453266576,15.14021071,4.9
Russia,51,0.797870201,39.69,25.727,0.414732113,12.64732823,0.11203485,121.634714,4.3,5.2,100,3.369634,91.02143331,0.275847763,19.54526457,3381.460583,23564.20808,22352.04535,9.2,8.6,30800,70.52,24.33333333,70.1,24,11.95319462,1.5,43.09,3.066265131,3.40296,475,4.101749897,6.547179,19.59062,9.198517206,1.11802,14.516129,1.900396289,15.05567485,10.1
Oman,52,0.793019477,29.00333333,10.615,14.47818926,21.44112651,0,108.4330591,3.28,9.2,97.7,2.041126,100,0.275345016,19.18973612,147.5806,44532.45487,34857.71384,1.1,9.8,1551,70.22,39.46666667,76.8,11,7.997653484,59.2,22.23,5.781896228,6.43695,61,4.200369835,2.598879,19.90897,0,0.132489994,9.5808383,2.625672582,2.574359766,11.4
Romania,53,0.79279742,27.33,30.955,-1.099266257,4.210560124,4.00945187,113.671108,3.7,4.3,100,2.166231,77.66806279,0.333006004,6.20503882,363.3432065,18200.30216,18107.95704,1.7,10.5,8019,54.08,28.5,74.7,33,10.77712727,-0.4,23.86,13.48939393,5.95006,155,3.07336998,5.33907,17.56015,22.76655523,0.48898,11.9507909,18.38842692,18.83897033,12
Uruguay,54,0.792762977,41.32,58.314,0.378659219,2.297642136,99.30434783,126.8667402,3.14,6.4,99.5,5.006598,57.01283323,0.312820492,13.84649868,64.61771282,18965.81654,19283.48112,7.9,9.5,2683,61.46,27.43333333,77.2,14,8.451206207,-1.8,37.36,5.666597365,5.25636,281,4.422180176,8.752842,13.79403,42.111563,0.43051,11.5384615,18.37414814,19.2965834,11.1
Bahamas,55,0.78995806,30.74666667,28.463,-3.397831439,5.205237886,-1.94E-09,105.6243584,1.62,5.4,100,4.53981,79.8069922,0.297899288,16.05748219,8.497705899,22517.99514,21336.42051,29.8,10.4,1364,76.92,26.83333333,75.4,37,10.94454861,5.2,28.18,4.108517131,10.5001,444,4.843226751,7.263478,14.1453,30.14685702,0.66356,16.6666667,12.29293935,15.53285071,12.9
Kazakhstan,56,0.787982452,28.56,29.946,0.414732113,15.81009754,-3.629456484,120.5365732,3.266666667,6.333333333,100,4.199878,98.9442786,0.267227654,10.30288648,382.7771613,22466.73406,20867.35416,7.8,14.6,4926,54.89,31.33333333,69.4,26,11.42,0,35.83,23.53101382,0.72375,295,3.060719967,4.255974,16.48238,0.968619019,0.15723,20.1298701,9.179751775,15.7965865,16.3
Barbados,57,0.785458413,44.77,48.387,3.70657025,5.556376063,-2.57E-08,116.4568031,2.39,5.4,90.9,12.20436,66.89770962,0.357040191,16.14731884,4.332917507,15298.71552,12487.58331,7.4,13.3,509,76.67,30,75.6,52,10.45693616,1.4,18.11,18.2378865,6.62534,521,5.610380173,6.780835,13.08663,8.337838201,0.269913333,19.6078431,31.64253784,25.24936061,14.4
Antigua and Barbuda,58,0.783367264,41.94666667,49.263,-0.622743002,5.823804338,-4.854368935,108.0834972,2.63,8.566666667,90.9,11.18527,66.92028465,0.259417903,18.47613929,1.831490875,20353.29082,20070.32342,11.2,7.7,244,64,46.9,76.1,30.66666667,9.2361755,-0.1,23.77666667,15.15558735,8.67793,403,2.554709911,4.866675,13.84503,11.01627062,1.539136669,25.7142857,11.95484071,18.57519236,9.3
Bulgaria,59,0.781675314,34.28,35.857,-0.230997039,6.71438251,23.666496,108.2542145,3.19,5.9,100,3.464894,75.03975955,0.211593764,16.50763779,114.0261092,15695.01779,15596.02718,1.9,10.1,6898,55.49,27.43333333,74.2,5,10.56554948,-1.4,38.12,7.819417614,3.06135,151,3.820930004,7.626268,17.41818,29.35964705,0.63924,20.4166667,14.62378319,18.95727582,11.6
Palau,60,0.780181065,38.66666667,69.189,-0.273601958,10.85543046,-11.29991554,117.1664248,4.906666667,7.966666667,59.3,2.307287,74.65682439,0.359146799,15.88481534,0.305648279,14611.7353,13495.87476,3.1,15.1,105,54.96666667,21.1,72.686,86.66666667,12.32727758,0.5,13.81,18.52812418,5.197406667,295,6.315153281,9.887833,21.31281333,9.430907525,0.433166667,10.3448276,36.95234025,26.0315966,17.5
Panama,61,0.779677597,51.9,78.531,1.894181178,2.5843538,-14.88924051,116.415564,2.95,2.1,90.9,11.84859,79.70988459,0.453917873,9.99546846,72.62086671,18793.39333,18191.98793,17.2,15.4,1658,44.92,27.43333333,77.6,85,9.347121239,1.5,15.54,4.128047267,8.39036,411,3.29343009,7.21292,25.48506,20.15453963,0.19519,19.2982456,17.81020034,15.92204719,17.9
Malaysia,62,0.779245824,46.21,5.676,5.871119803,7.847738104,-9.356453348,107.1166667,2.91,4.3,100,3.698655,94.47991174,0.209,13.55006876,671.2875607,22589.37145,22762.13945,2.3,7.2,25700,67.5,37.56666667,74.7,29,9.964879036,3.1,11.98,1.242853564,0.88035,132,5.940680027,4.027421,12.13758,5.479303009,1.06529,14.2348754,52.04076725,16.09883752,8.5
Mauritius,63,0.776552444,35.9,30.898,5.448620232,3.127070817,-9.690721636,114.5552413,4.9,11.7,100,2.167676,76.69909118,0.418769432,14.40304947,21.58059136,16647.79867,17469.7784,2.8,12.5,993,41.44,27.43333333,74.4,73,8.542904854,0,10.57,10.19461864,4.19319,202,3.6738801,4.821519,19.79263,10.25069779,0.37229,11.5942029,17.94742864,18.99047508,14.3
Seychelles,64,0.772459367,65.77,56.255,8.485699417,6.835706362,0,114.6243636,6.65,7.2,100,12.30531,75.51462601,0.1845653,25.5840881,2.122207018,23798.76216,23300.30542,9.5,12.2,230,54.26,43.76666667,73.1,13.66666667,9.4112,-3.4,15.13,3.662937027,15.12106,709,3.627640009,4.032539,12.55556,18.71848958,0.30209,43.75,27.87776229,31.2092615,14.2
Trinidad and Tobago,65,0.771893819,28.53333333,34.805,4.496099243,37.18763962,-6.539260485,120.812086,4.04,16.5,99.8,6.95025,99.93253108,0.371436093,9.50726523,39.52285223,29469.35299,26089.9511,28.3,19,434,65.1,41.16666667,70.4,84,10.88346335,-2.2,11.75,8.236260657,10.61263,281,6.026703358,5.29355,17.57943,0.067468916,0.04348,24.6575342,49.59734804,28.2583576,21.3
Serbia,66,0.771149777,29.65,16.872,2.709606612,6.799114997,21.39213141,128.4622384,3.96,8.5,100,4.337332,89.08806084,0.175585707,19.55793478,92.36354531,12892.77704,12190.43399,1.2,5.8,922,53.5,26.2,74.9,16,10.46026516,-2.1,21.14,18.5369546,0.78248,142,0.060529999,10.59735,15.15704,11.05965253,0.9868,34,7.59578147,19.72139285,6.6
Cuba,67,0.769011135,47.08333333,43.085,1.287815574,3.185683146,44.10637184,110.494156,3.38,6,100,4.879291967,86.7186097,0.355911775,37.86710322,211.9468631,18796.19252,7301.039053,4.2,5,2829,30,46.9,79.4,80,11.51362,-2.5,67.23,16.97609076,4.20672,510,12.83726978,8.810774,9.06109,13.28139924,0.41934,48.8562092,17.41251749,20.70166334,6.2
Lebanon,68,0.768897837,37.67666667,11.978,3.316924672,4.674540418,4.625954161,111.8819224,3.183333333,5.433333333,100,6.829242,95.52014106,0.384790712,14.72341449,74.26113575,16622.93548,16509.27721,2.2,7.8,1274,74.7,27.43333333,79.3,16,7.917283708,21.3,32,1.228701222,6.71228,118,2.572679996,7.174523,12.04695,3.342120984,0.42791,3.125,19.01218398,15.48357987,9.1
Costa Rica,69,0.765746905,48.61,60.794,2.881564228,1.655602109,3.37753511,115.3331981,3.24,7.6,99.5,6.518283,48.26391813,0.349238581,17.93139451,65.43681041,13430.74321,13413.37683,8.5,8.4,2428,49.41,60,79.4,38,8.367648125,2.7,11.13,1.337190054,12.27982,314,6.866449833,9.868729,16.42801,51.80445878,0.47641,33.3333333,15.07130361,13.64160141,9.6
Iran,70,0.765590711,38.28,31.614,2.888831653,7.777322503,0,213.9536482,4.47,13,100,0.8267577,99.51631123,0.514622127,11.17889894,1168.681422,15090.04722,15439.80435,4.1,14.4,4769,39.35,27.43333333,75.4,23,8.17,-0.8,8.9,25.10922472,3.82423,284,3.679909945,6.688835,25.65459,0.686866501,0.7488,3.1034483,19.34767938,8.448795853,16.8
Venezuela,71,0.7622524,44.77,83.222,-0.266530597,6.400457516,-12.15968939,214.6947406,4.52,12.8,100,1.606266,88.85243796,0.475898794,12.19195867,535.5755048,17614.59821,16158.95596,53.7,12.9,986,57,27.43333333,74.2,110,8.896468623,0.3,19.39,1.871314101,4.87667,161,6.874670029,3.445115,17.56734667,11.1780688,0.42791,16.969697,21.46414258,15.51372892,14.9
Turkey,72,0.761120293,40.04,30.923,4.201025103,4.391547759,19.54132233,124.6263079,3.79,12.9,100,1.559719,89.50950558,0.358838355,15.05241995,1398.252884,18660.13082,18677.13032,2.6,16.5,37800,51.04,19.7,75.3,20,7.560710907,0.9,17.11,5.494165807,9.97535,179,2.862469912,5.59013,20.13204,10.27687166,0.85952,14.4160584,17.58913991,20.37734274,19.2
Sri Lanka,73,0.756658911,36.4,16.898,3.051562374,0.72992084,-22.09361703,122.69845,6.88,8.3,88.7,1.362821,48.65767072,0.369751852,13.11169063,193.0673788,9425.737383,9778.605247,3.4,8.2,1275,25.8,38.4,74.9,29,10.8,-3,6.8,21.06065205,3.42509,132,1.72397995,3.244492,24.4299,51.34233888,0.15664,5.7777778,16.18009045,11.99320157,9.6
Mexico,74,0.756207912,48.07,63.39,1.942618956,3.908712496,-8.250558388,111.7569034,3.74,4.7,99.1,3.338323,90.10370985,0.37281121,11.8729031,1992.894187,16290.8126,16055.96891,21.5,12.5,24200,44.39,46.7,76.8,49,8.468326569,-2,20.95,3.835616876,4.24733,210,5.14620018,6.237916,28.01636,9.855558511,0.42869,37.1019108,21.91630459,16.46192958,14.5
Brazil,75,0.755291956,52.67,70.794,2.702940361,2.231257237,-10.38652562,119.3673758,2.61,4.4,99.5,3.599945,54.56668309,0.456865874,21.97252114,2916.284287,14555.0822,15174.96721,25.2,12.3,5813,57.6,38.8,74.5,69,7.66,-0.2,18.91,7.858502737,19.37534,274,5.822249889,9.66039,20.51712,44.2481259,1.20964,9.5959596,26.51247273,15.42163032,13.7
Georgia,76,0.754118641,41.35,46.799,3.563738895,1.769150524,-1.504857851,106.9685008,6.453333333,7.5,100,5.925159,72.80037418,0.381596771,16.6820472,31.09760348,6946.235896,7164.025639,4.3,11.7,5392,48.9,9.1,74.9,41,12.11,-5.8,42.36,1.913552467,0.17955,225,1.983309984,9.432717,9.09457,28.29928347,0.17658,11.3333333,35.24127965,24.11828496,13.1
Saint Kitts and Nevis,77,0.751862282,30.99666667,47.91466667,7.281411532,5.053538729,-4.73E-09,109.3671115,2.86,6.333333333,90.9,14.46589,83.19251088,0.25356237,19.22478643,1.122260759,20709.35689,20804.81384,33.6,7.8,107,65.4,27.03333333,73.77,9.333333333,8.387379,-1,11.67,4.067282679,7.1777,714,4.225759983,6.27812,14.51688,27.27768335,0.487103333,6.6666667,9.79660609,20.19043068,10.2
Azerbaijan,78,0.751139174,33.03,40,1.495079444,3.647379147,0.667811936,111.584763,3.183333333,5.433333333,100,3.56093,97.86252765,0.303000337,11.21798982,156.2547565,16593.54647,16427.91563,2.1,29.9,2130,61,15,70.8,26,11.16,0,34.32,3.836667227,1.81357,413,2.435640097,5.579734,11.92302,2.600981728,0.21084,15.5737705,13.59231031,12.95582924,34.2
Grenada,79,0.74999318,38.66666667,35.358,5.440902645,2.408045758,-1.00E-08,105.4707113,3.35,7.966666667,90.9,8.938494,74.65682439,0.359146799,16.8113622,1.193647527,11271.77849,10939.006,13.3,10.7,116,37.38,21.1,73.4,23,8.552604,-8.1,6.63,25.04112007,5.827973333,424,4.270226558,6.338721,16.05523,11.60086133,0.25696,25,16.89794091,18.66941695,11.8
Jordan,80,0.748328542,33.69,26.473,4.109045125,3.601147064,-0.608245108,115.370623,4.5,6.1,99.5,5.340056,95.9918514,0.473382155,19.65322914,73.67461303,11406.50457,11365.21619,2,16,3945,44,23,74,50,9.908419609,11.3,25.58,22.01130952,2.10094,95,4.773786545,7.22403,19.93241,1.997031829,0.4347,11.5555556,13.61810735,15.25758585,18.7
Macedonia,81,0.74725286,44.2,18.256,2.709606612,4.437580862,11.35818828,110.3393379,5.08,7.9,100,4.055383,82.14660415,0.163635459,17.52832929,24.46193184,11608.96897,11780.04468,1.4,5.8,400,68.06,38.4,75.4,7,9.2592,-0.5,26.24,7.106265579,2.50694,122,3.178513368,6.444246,15.15012,10.43938319,0.21793,33.3333333,10.67469354,16.70596473,6.6
Ukraine,82,0.747005221,24.82,25.671,2.015616367,6.262351962,5.213556868,108.2599837,5.23,3.9,100,2.541275,79.63188173,0.28644056,19.3599559,387.0261895,8508.014787,8178.067935,4.3,8.6,24700,43.4,18.3,71,23,11.34,-0.2,35.31,6.225041002,0.64571,305,6.661180019,7.771187,16.48785,20.71150765,0.73662,11.8483412,11.80775024,18.23127637,10
Algeria,83,0.735623767,38.81666667,10.033,3.762173496,3.22420156,-11.55368916,117.5218381,5.11,5.5,100,0.8037201,99.88756809,0.413117859,18.90485754,505.5089905,12892.94249,13054.30628,0.7,21.6,2634,18.09,29.16666667,74.8,89,7.611,-0.3,12.07,28.83718384,7.23248,162,4.33701992,6.635026,23.15942,0.141610925,0.06604,25.7425743,60.20229892,37.36184931,25.2
Peru,84,0.734203129,45.33,50.748,0.922824211,1.791964427,-3.512172872,110.1653876,3.87,3.4,91.2,4.595051,75.98294021,0.405915232,11.19202014,346.1753476,11396.49302,11015.23763,9.6,12.9,3164,40.2,38.9,74.6,89,9.013469696,-2,11.32,0.738200294,26.11487,202,3.277960062,5.317889,18.08394,24.01455763,0.545293333,22.3076923,33.95868642,16.54473209,16.7
Albania,85,0.732765803,28.96,15.297,-0.280486216,1.60703771,-1.898605839,107.5972351,6.43,10.3,100,9.701772,60.52689585,0.217395947,10.68921529,28.86049099,10405.35149,9942.855635,5,13.3,2857,60.1,43.76666667,77.8,21,9.255580902,-3.2,11.45,5.739703969,1.33296,158,3.268680096,5.882328,19.12103,26.56383378,0.15308,20.7142857,18.68343126,19.63069867,14.9
Armenia,86,0.732982583,30.3,27.118,3.563738895,1.67383608,-26.89075611,116.7987006,8.87,11.9,100,3.548608,71.54126243,0.317574186,14.46393506,22.40412537,7526.836419,8123.557691,1.8,14,1084,46.3,9.5,74.7,29,10.87,-3.4,26.87,9.577000408,4.38289,164,2.250149965,4.519753,19.3076,32.66394123,0.27014,10.6870229,21.31431815,18.65348248,15.6
Bosnia and Herzegovina,87,0.732530326,33.04,15.108,2.709606612,6.185334807,-1.131221712,105.7083333,4.82,6.3,100,1.764679,93.91646937,0.200654239,22.76307955,35.94704519,9387.350031,9637.776782,1.3,5.7,529,60.8,46.9,76.5,8,8.3262129,-0.3,16.94,6.088298586,17.22785,78,4.800336758,9.625997,17.09921,7.888293396,0.02171,19.2982456,6.710965858,20.86616416,6.6
Ecuador,88,0.731674443,46.57,77.032,3.922678498,2.34333293,-23.60336345,112.8105507,3.39,5.7,97.2,0.7674718,86.28549413,0.407268764,14.09402289,165.8875797,10540.65737,10604.89264,12.4,19.1,1364,43,46.3,75.9,87,7.585,-0.4,16.87,1.640018639,11.0995,149,4.358260155,6.395048,18.70906,12.86325172,0.22779,41.6058394,19.56784992,17.55778296,22.5
Saint Lucia,89,0.729056449,51.73,56.309,4.202712436,2.270512241,7.305936071,108.6387228,3.44,12.3,90.9,6.25223,61.19161188,0.38605805,14.81770831,1.850350309,10151.53264,9764.840456,21.6,12.7,319,51,31.23333333,75.1,34,9.344302952,0,4.73,13.26317819,10.42671,317,4.700260162,8.5,16.66479,26.75522448,0.1682,20.6896552,27.12657469,23.04105473,14.5
China,90,0.727494941,37.01207517,8.551,6.534991351,6.710301991,35.1580446,111.0535416,3.25,8.1,100,3.764487,88.30257161,0.190685514,14.05973594,15643.21744,11524.56751,12547.03385,1,10.9,55700,49.3,31.23333333,75.8,32,7.54,-0.2,14.56,8.572817355,24.34323667,121,6.303089937,5.567502,18.20779,11.737611,1.98305,23.6228456,24.90310597,10.63619518,12.7
Fiji,91,0.727135774,42.83,42.847,1.145220192,1.423838114,7.125616533,115.6508393,5.13,8.3,59.3,4.104073,71.43402406,0.4181164,15.04924022,6.609582607,7501.81043,7492.511041,4,20,658,41.8,20.13333333,70,59,9.91218949,-6.6,4.26,12.54184593,3.49117,174,4.19645977,4.131533,27.99728,45.96556421,0.218356667,14,32.48737553,23.18702332,23.6
Mongolia,92,0.726620589,36.52,18.706,3.726992257,6.927361359,-14.37460115,136.7223215,4.78,16.7,89.8,18.6768,95.3736789,0.325352696,11.27385132,25.92728255,9132.305704,10729.38361,9.7,26.4,418,27,46.9,69.4,68,9.28,-1.1,27.63,31.46142946,9.10258,287,5.476170063,6.009265,27.58707,4.068468111,0.27392,14.8648649,11.558678,18.23573188,31.8
Thailand,93,0.725836139,39.37,41.004,8.019704151,4.556738121,-2.800143241,109.2750063,4.52,2.8,100,3.26654,80.43860057,0.37961973,13.81211913,933.5776805,13931.81147,13322.89654,5,11.3,26500,34.89,43.8,74.4,26,7.322291851,0.3,3.93,16.95396776,17.41154667,398,7.568950176,4.57427,16.28069,18.9091144,0.25056,6.0913706,36.23018006,16.50216084,13.1
Dominica,94,0.723788309,40.34666667,69.189,5.214938385,1.74616602,-11.8,103.7286326,4.113333333,5.433333333,92.7,3.467566,63.67490929,0.341457284,19.06810036,0.720848345,10011.36543,9993.854762,21.1,10.2,78,62.86,41.23333333,77.763,63.33333333,7.85923,-1.633333333,15.9,3.208362467,13.56978,391,5.071229935,5.950643,14.84121,42.84408733,0.226733333,21.875,16.17312073,21.77697842,11.4
Libya,95,0.724464011,37.67666667,2.523,-2.831748776,6.39342247,0,125.7112887,3.27,4.733333333,100,0.9460977,98.73854426,0.134026357,9.3,126.3325326,20371.21741,14910.916,1.7,12.4,34,17.76,27.43333333,71.6,15,7.31,-7.7,19,8.458206104,3.391103333,81,5.681360007,4.298793,17.56734667,1.289179297,0.42791,15.9574468,14.64319771,15.37917316,14.5
Tunisia,96,0.721191132,35.79,4.602,3.916208279,2.402455639,61.55520996,115.9833549,3.86,4.7,100,2.252695,85.25248663,0.240428433,18.9775771,117.2219311,10767.64168,10404.49747,2.2,13.1,6269,46.16,27.09,74.8,46,6.837558,-0.6,12.22,36.70917595,5.86855,199,6.223509789,7.079837,17.43043,14.7746606,1.10218,31.3364055,26.69232361,21.03704878,15.2
Colombia,97,0.7201704,53.53,68.537,0.468712931,1.538341298,-3.55411955,108.8551742,2.74,4.5,97,4.280588,75.59274364,0.428534838,16.7009108,581.0835168,12025.38537,12040.24866,30.8,14.5,2288,52.57,37.4,74,83,7.349983663,-0.5,14.71,2.008246565,15.28811,245,4.929749966,6.811924,24.77293,24.824841,0.17267,20.8955224,19.73047854,13.24817963,16.9
Saint Vincent and the Grenadines,98,0.720035388,42.74333333,54.508,6.338599005,2.179604415,6.166007908,106.7196293,3.4,4.8,75.9,17.86615,63.67490929,0.44101636,18.49840683,1.110582627,10154.08398,9937.269491,25.6,17.2,72,56.48,43.76666667,72.9,45,8.621687,-9.1,5.25,7.522704362,31.42725,376,5.083330154,5.2,15.29101,21.04535164,0.438823333,13.0434783,24.51923077,23.00309399,19
Jamaica,99,0.718529602,45.51,70.057,0.233537961,2.872655693,-2.420197338,125.6885016,4.96,7,92.6,4.635752,82.09958938,0.429960658,16.31390074,23.367069,8606.65525,7414.602613,39.3,14.3,2008,40.5,35,75.7,80,9.67,-5.8,4.11,3.322202329,13.92094,152,6.256199837,5.816326,21.27636,17.90044324,0.396863333,16.6666667,32.98157006,27.06831253,16.6
Tonga,100,0.717040729,34.56333333,18.11,3.852359338,0.98203799,0,108.3161666,5.99,6.866666667,95.9,2.487887,71.43402406,0.665646201,18.89634252,0.540734289,5134.057037,5069.128017,1,10.4,45,40,26.2,72.8,120,10.71,-15.4,5.63,10.92553271,9.60885,150,6.246693373,4.711185,21.10539,49.7056996,0.222716667,0,25.41984239,11.40727016,12.1
Belize,101,0.714982235,42.74333333,71.395,1.8326783,1.739123561,-13.37957125,98.2421612,3.03,27.9,100,5.496886,63.67490929,0.425749675,15.13577358,2.726443567,8214.653713,7613.90541,44.7,14.3,294,38.7,43.76666667,70,45,10.48802948,4.6,8.28,1.137657011,9.08946,476,6.613369942,5.428263,22.57321,18.71495684,0.201196667,13.3333333,28.72403378,22.64082239,16.7
Dominican Republic,102,0.715028472,45.68,99.588,3.757905618,2.156995478,-4.90E-09,117.9004948,4.09,5.2,98,2.615441,89.34778942,0.477340658,10.06587683,122.7172568,11795.47058,11882.70471,22.1,23.6,4690,49.58,17.2,73.5,100,7.56,-2.7,14.9,7.011500275,8.86127,240,3.776200056,5.398474,23.6279,10.65222412,0.534306667,19.0697674,20.4912907,12.22695352,28.1
Suriname,103,0.714286152,44.77,35.198,-0.583599456,3.606356451,-0.170546835,125.9829191,6.23,9.7,100,2.594241,66.89770962,0.462565405,23.34260204,8.388892675,15555.84279,15617.28475,6.1,20.3,249,40.08,37.93333333,71.1,130,7.651408672,-1.9,9.11,9.0712219,9.65164,186,6.263156653,4.757322,13.29948,25.55878749,0.406703333,11.7647059,31.88838259,19.41865457,22.8
Maldives,104,0.706365292,37.37,4.177,2.983660683,3.324959935,0,129.4445161,3.51,14.2,100,15.68874,74.65682439,0.242668969,16.798533,3.892830666,11282.81496,12328.39411,3.9,8.4,1125,49.28,28.4,76.8,31,5.842967389,0,14.15,25.04112007,17.15262,307,6.194290161,10.80828,11.4094,5.637767785,0.534306667,5.8823529,2.825997411,15.49196761,9.9
